geometry,@id,description,landuse,man_made,name,operator,operator:wikipedia,website,building,ref:bag,source,source:date,start_date,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,heritage,note,substance,wikidata,wikimedia_commons,wikipedia,architect,heritage:operator,ref,historic,pumping_station,full_name,height,alt_name,access,layer,ref:rce,location,operator:wikidata,basin,building:levels:underground,capacity,product,natural,water,area,phone,entrance,drinking_water,pump,pump:status,pipeline,substation,handle,mechanical_driver,pump_mechanism
"POLYGON ((4.8930903 52.341447, 4.8930894 52.3414398, 4.8930865 52.3414286, 4.8930705 52.3413978, 4.8930502 52.3413759, 4.8930361 52.3413606, 4.8930262 52.341345, 4.8930205 52.3413272, 4.8930186 52.341309, 4.8930205 52.3412857, 4.8930295 52.3412626, 4.8930394 52.3412407, 4.8930507 52.341226, 4.89307 52.3412053, 4.8930903 52.341186, 4.893111 52.3411707, 4.8932289 52.3411687, 4.8932337 52.3411843, 4.8932478 52.3412096, 4.893262 52.3412266, 4.8932755 52.3412504, 4.8932818 52.3412753, 4.8932812 52.3412968, 4.8932752 52.341318, 4.893261 52.341354, 4.8932445 52.3413851, 4.8932238 52.3414099, 4.8932025 52.3414347, 4.8931945 52.3414442, 4.8931376 52.3414456, 4.8930903 52.341447))",way/1210534103,,basin,reservoir_covered,,Gemeente Amsterdam; Waternet,,,yes,,https://www.waterblock.nl/amsterdam-europaplein/,,,,,,,,,,,,,,,,,,,,,,,-1,,underground,,infiltration,1,400,Waternlock,,,,,,,,,,,,,
"POLYGON ((4.9066303 52.3844211, 4.9066577 52.3844019, 4.9066744 52.3844107, 4.906647 52.3844299, 4.9066303 52.3844211))",way/1212387738,,,pumping_station,,,,,yes,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9246298 52.3907095, 4.9246312 52.3907, 4.9246449 52.3907008, 4.9246435 52.3907103, 4.9246298 52.3907095))",way/1218332832,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9280263 52.39407, 4.9280201 52.3940599, 4.9280351 52.3940565, 4.9280413 52.3940665, 4.9280263 52.39407))",way/1219282719,,,pumping_station,,Waternet,,,yes,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,1,,,,,,,,,,,,,,,
"POLYGON ((4.9279725 52.3940661, 4.9279647 52.3940535, 4.9279955 52.3940464, 4.927999 52.394052, 4.9280033 52.3940589, 4.9279725 52.3940661))",way/1219282720,,,pumping_station,,Waternet,,,yes,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,1,,,,,,,,,,,,,,,
"POLYGON ((5.0260797 52.4068763, 5.0261011 52.4068781, 5.0260986 52.4068888, 5.0260773 52.406887, 5.0260797 52.4068763))",way/1221531425,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9253263 52.3950999, 4.9253155 52.3950844, 4.9253049 52.3950694, 4.9253565 52.3950559, 4.9253669 52.3950709, 4.9253775 52.3950865, 4.9253263 52.3950999))",way/1222926531,,,pumping_station,,Liander,,,yes,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8977055 52.3408287, 4.8978319 52.3408231, 4.8978353 52.3408533, 4.8977802 52.340856, 4.8977804 52.3408492, 4.8977744 52.3408493, 4.8977668 52.3408494, 4.8977642 52.3408507, 4.8977395 52.3408515, 4.8977391 52.3408472, 4.8977079 52.3408482, 4.8977055 52.3408287))",way/1238599984,,,pumping_station,Eindgemaal Rivierenbuurt,Waternet,,,yes,,https://www.dearchitect.nl/274789/arc22-eindgemaal-rivierenbuurt-amsterdam-bureauvaneig,,,,,,,,,"""iedereen die de problemen met water kan oplossen is twee nobelprijzen waardig – één voor de vrede en één voor de wetenschap""",sewage,,,,BureauVanEig,,ARC22,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8977055 52.3408287, 4.8978319 52.3408231, 4.8978481 52.3408224, 4.897853 52.3408653, 4.8978594 52.3409196, 4.8976953 52.3409269, 4.8976838 52.3408297, 4.8977055 52.3408287))",way/1238950483,,,pumping_station,Eindgemaal Rivierenbuurt,Waternet,,,,,https://www.dearchitect.nl/274789/arc22-eindgemaal-rivierenbuurt-amsterdam-bureauvaneig,,,,,,,,,,sewage,,,,,,ARC22,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8345902 52.3638951, 4.8345925 52.3638265, 4.8346732 52.3638275, 4.8346709 52.3638962, 4.8345902 52.3638951))",way/1244651900,,,pumping_station,Rioolgemaal Postjesweg,Waternet,,https://www.waternet.nl/gemaalpostjesweg,,0363100012571258,,,2022,,,,,,,,,,,,,,,,sewage,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9040352 52.3326032, 4.9040371 52.3325896, 4.9040603 52.3325908, 4.9040585 52.3326044, 4.9040352 52.3326032))",way/1253100539,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9042666 52.3382145, 4.9042626 52.3382108, 4.9042623 52.3382065, 4.9042881 52.3381655, 4.904291 52.3381619, 4.9042966 52.3381597, 4.9043077 52.3381612, 4.904371 52.3381805, 4.9044129 52.3381933, 4.9044319 52.3381991, 4.9044371 52.338204, 4.9044372 52.3382083, 4.9044341 52.3382122, 4.9044186 52.3382368, 4.9044098 52.3382509, 4.904401 52.338255, 4.9043934 52.3382549, 4.9043869 52.3382524, 4.9042666 52.3382145))",way/1267481085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,reservoir,,,,,,,,,,,
"POLYGON ((4.9073401 52.3388802, 4.9073803 52.3388706, 4.9073989 52.3388993, 4.9073875 52.3389021, 4.907374 52.3389054, 4.9073613 52.3389085, 4.9073591 52.338909, 4.9073401 52.3388802))",way/1268188870,,,pumping_station,,Waternet,,,,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9131033 52.3411632, 4.9131147 52.3411574, 4.9131322 52.3411704, 4.9131209 52.3411761, 4.9131033 52.3411632))",way/1268818801,,,pumping_station,,Waternet,,,,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8999646 52.3410206, 4.8999626 52.3410068, 4.899998 52.3410049, 4.9 52.3410187, 4.8999646 52.3410206))",way/1275820993,,,pumping_station,,Waternet,,,,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9255335 52.3407128, 4.925569 52.3406963, 4.925605 52.3406797, 4.9256066 52.3406811, 4.9256305 52.3406989, 4.9256396 52.340706, 4.9256096 52.3407199, 4.9255673 52.3407394, 4.9255575 52.3407317, 4.925541 52.3407189, 4.9255355 52.3407145, 4.9255335 52.3407128))",way/1299598441,,,pumping_station,,Waternet,,,,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9192434 52.3456492, 4.9192669 52.3456392, 4.919284 52.3456541, 4.9192605 52.3456642, 4.9192434 52.3456492))",way/1303113170,,,pumping_station,,Waternet,,,,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9850353 52.417444, 4.9850242 52.4174444, 4.9850244 52.4174381, 4.9850355 52.4174381, 4.9850353 52.417444))",way/1316380621,,,pumping_station,,,,,,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9849239 52.3932286, 4.9849532 52.3932293, 4.9849521 52.3932472, 4.9849228 52.3932465, 4.9849239 52.3932286))",way/1316481159,,,pumping_station,Gemaal Nieuwe Gouw,Hoogheemraadschap Hollands Noorderkwartier,,,,,,,,,,,,,,,water,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9836082 52.4184236, 4.9836353 52.4184294, 4.983626 52.4184457, 4.9835989 52.41844, 4.9836082 52.4184236))",way/1316962857,,,pumping_station,,,,,yes,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.954428 52.3560952, 4.9544438 52.3560855, 4.9544632 52.3560961, 4.9544484 52.3561062, 4.954428 52.3560952))",way/1380246728,,,pumping_station,,Waternet,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9428479 52.3094074, 4.9428547 52.3094002, 4.9428677 52.3094048, 4.9428608 52.309412, 4.9428479 52.3094074))",way/1387030278,,,pumping_station,,Waternet,,,,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.939708 52.3108198, 4.9397171 52.3108099, 4.9397546 52.3108228, 4.9397456 52.3108327, 4.939708 52.3108198))",way/1388006630,,,pumping_station,,Waternet,,,yes,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9395057 52.3110051, 4.9395167 52.3109927, 4.9395389 52.3110001, 4.9395331 52.3110066, 4.9395279 52.3110124, 4.9395057 52.3110051))",way/1388259403,,,pumping_station,,Waternet,,,yes,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.950401 52.303158, 4.9504131 52.3031455, 4.9504346 52.3031533, 4.9504224 52.3031658, 4.950401 52.303158))",way/1388798689,,,pumping_station,,Waternet,,,,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9540133 52.3026932, 4.9540412 52.3027026, 4.9540274 52.3027176, 4.9539997 52.3027081, 4.9540133 52.3026932))",way/1392089529,,,pumping_station,,,,,,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9536362 52.3025797, 4.953651 52.3025636, 4.9536812 52.3025739, 4.9536665 52.3025901, 4.9536617 52.3025885, 4.9536362 52.3025797))",way/1392089530,,,pumping_station,,,,,,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9518046 52.304036, 4.9518185 52.3040206, 4.9518481 52.3040306, 4.9518342 52.304046, 4.9518046 52.304036))",way/1393911500,,,pumping_station,,,,,,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9521821 52.3041698, 4.952196 52.3041544, 4.9522256 52.3041645, 4.9522117 52.3041799, 4.9521821 52.3041698))",way/1393911503,,,pumping_station,,,,,,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9525402 52.3042956, 4.9525542 52.3042802, 4.9525838 52.3042902, 4.9525698 52.3043056, 4.9525402 52.3042956))",way/1393911510,,,pumping_station,,,,,,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9514539 52.3019658, 4.9514687 52.3019492, 4.9514973 52.3019587, 4.9514825 52.3019753, 4.9514539 52.3019658))",way/1409227777,,,pumping_station,,Waternet,,,yes,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9516276 52.3053439, 4.9515995 52.3053342, 4.9516102 52.3053226, 4.9516383 52.3053323, 4.9516276 52.3053439))",way/1409695432,,,pumping_station,,Waternet,,,,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9522366 52.3047243, 4.9522295 52.3047327, 4.952213 52.304727, 4.9522201 52.3047186, 4.9522366 52.3047243))",way/1409695438,,,pumping_station,,Waternet,,,,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9471572 52.3021993, 4.9471725 52.3021821, 4.9471946 52.3021895, 4.9471792 52.3022067, 4.9471572 52.3021993))",way/1409749431,,,pumping_station,,Waternet,,,yes,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9401898 52.3894112, 4.9401925 52.3894367, 4.9401378 52.3894389, 4.9401337 52.3894017, 4.9401667 52.3894004, 4.940168 52.3894121, 4.9401898 52.3894112))",way/1415169921,,,pumping_station,Gemaal Sint Bernarduspolder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9380701 52.3888779, 4.9380631 52.3888623, 4.9380969 52.3888566, 4.9381038 52.3888722, 4.9380701 52.3888779))",way/1415170699,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
POINT (5.0202343 52.303071),node/1411440890,,,pumping_station,Gemaal Driemond,"Waterschap Amstel, Gooi en Vecht",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (4.7933124 52.3989499),node/2735459829,,,wastewater_plant,RWZI Amsterdam West,Stichting Waternet,,,,,BAG,2014-02-11,,Amsterdam,,15,1046BS,Australiëhavenweg,,,,,,,,,,,,,,,,,,,,,,,,,,,+31 20 608 2989,,,,,,,,,
POINT (4.9691978 52.3606466),node/4602449052,,,pumping_station,,Waternet,,,,,,,,,,,,,,,water,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (4.9910089 52.3234163),node/9705220124,,,pumping_station,,Waternet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (4.963434 52.386406),node/9858565487,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (4.9497832 52.3446746),node/9904418371,,,pumping_station,,Liander,,,,,,,,,,,,,,,gas,,,,,,,,,,,,,,,,,,,,,,,,,service,,,,,,,,
POINT (4.940556 52.3477282),node/9910480832,,,pumping_station,,Waternet,,,,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
POINT (4.952254 52.3546385),node/9926665588,,,pumping_station,,Waternet,,,,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (5.0132351 52.3726391),node/10031308026,,,water_well,,,,,,,local survey & PDOK 0.07 15-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,
POINT (4.9984671 52.3798089),node/10047109083,,,pumping_station,,,,,,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (4.9545295 52.3580068),node/10178290919,,,pumping_station,,,,,,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (4.9665954 52.3689067),node/10290273131,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (4.8816637 52.3786551),node/10799454690,,,water_well,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,manual,locked,,,,,
POINT (4.8817685 52.3786651),node/10799454691,,,water_well,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,manual,locked,,,,,
POINT (5.0168068 52.3555444),node/10896145084,,,pumping_station,,Waternet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (4.9009766 52.3875777),node/11178370890,,,pumping_station,,Gasunie,,,,,,,,,,,,,,,gas,,,,,,,,,,,,,,,,Q918239,,,,,,,,,,,,,substation,distribution,,,
POINT (4.9040462 52.3325975),node/11428905053,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (4.7508541 52.4111139),node/11552882929,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (4.8974538 52.3417227),node/11878991908,,,water_well,,,,,,,,,,,,,,,,,water,,,,,,,,,,,,private,,,,,,,,,,,,,,,manual,,,,lever,manual,piston
POINT (4.931333 52.3454111),node/12052808638,,,pumping_station,,Waternet,,,,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
POINT (4.9717129 52.3236442),node/13142744290,,,pumping_station,,Vattenfal,,,,,,,,,,,,,,,hot_water,,,,,,,,,,,,private,,,,,,,,,,,,,service,,,,,,,,
